param n:= 50 ;
param r:= 2 ;

param Tmax:= 1000 ;

param cant_clases:= 10 ;

param b:=
0 0
1 12.0
2 8.0
3 16.0
4 5.0
5 12.0
6 5.0
7 13.0
8 20.0
9 13.0
10 18.0
11 7.0
12 6.0
13 9.0
14 9.0
15 4.0
16 25.0
17 5.0
18 17.0
19 3.0
20 16.0
21 25.0
22 21.0
23 14.0
24 19.0
25 14.0
26 6.0
27 16.0
28 9.0
29 20.0
30 13.0
31 10.0
32 16.0
33 19.0
34 22.0
35 14.0
36 10.0
37 11.0
38 15.0
39 13.0
40 15.0
41 8.0
42 22.0
43 24.0
44 3.0
45 25.0
46 19.0
47 21.0
48 10.0
49 0
;

param o:=
0 0
1 354
2 234
3 411
4 474
5 155
6 361
7 451
8 425
9 72
10 157
11 296
12 111
13 368
14 98
15 96
16 382
17 436
18 405
19 255
20 293
21 298
22 479
23 376
24 91
25 360
26 379
27 258
28 352
29 288
30 159
31 423
32 238
33 339
34 397
35 479
36 315
37 132
38 161
39 387
40 284
41 296
42 381
43 401
44 432
45 289
46 451
47 123
48 98
49 0
;

param e:=
0 0
1 2.0
2 7.0
3 21.0
4 24.0
5 1.0
6 17.0
7 6.0
8 5.0
9 7.0
10 1.0
11 4.0
12 10.0
13 2.0
14 16.0
15 23.0
16 18.0
17 3.0
18 15.0
19 13.0
20 10.0
21 4.0
22 23.0
23 20.0
24 10.0
25 4.0
26 2.0
27 23.0
28 6.0
29 8.0
30 10.0
31 7.0
32 1.0
33 21.0
34 6.0
35 4.0
36 13.0
37 9.0
38 22.0
39 22.0
40 18.0
41 10.0
42 25.0
43 23.0
44 4.0
45 9.0
46 17.0
47 10.0
48 17.0
49 0
;

param c:=
0 1000
1 509
2 401
3 573
4 622
5 295
6 509
7 629
8 588
9 199
10 318
11 444
12 249
13 528
14 251
15 208
16 535
17 580
18 528
19 414
20 470
21 408
22 607
23 536
24 238
25 505
26 528
27 428
28 509
29 380
30 324
31 564
32 387
33 429
34 572
35 599
36 492
37 290
38 326
39 508
40 446
41 471
42 482
43 522
44 564
45 450
46 597
47 302
48 233
49 1000
;

param t
:	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49 :=
0	0.0	48.17	24.9	63.76	49.41	74.71	60.92	15.85	79.07	22.46	34.5	38.45	56.46	103.35	39.25	43.71	43.67	81.85	55.62	82.03	70.18	59.91	35.39	32.59	51.32	44.67	41.12	67.95	37.49	70.55	36.78	6.35	8.46	85.93	28.73	17.26	18.59	15.72	58.97	32.29	71.91	12.35	50.17	44.54	8.38	41.14	79.14	49.87	58.06	0.0
